"fecha","humedad","temperatura","ph"
"2024-04-12T00:00:00","85","22","6.2"
"2024-03-16T00:00:00","78","24","6.7"
"2024-04-08T00:00:00","90","21","6.0"
"2024-03-05T00:00:00","82","23","6.4"
"2024-04-18T00:00:00","88","20","6.8"
"2024-03-10T00:00:00","75","25","6.3"
"2024-03-22T00:00:00","85","22","6.1"
"2024-03-24T00:00:00","80","24","6.6"
"2024-04-16T00:00:00","92","21","6.5"
"2024-04-03T00:00:00","85","23","6.3"
"2024-04-20T00:00:00","79","26","6.7"
"2024-04-27T00:00:00","88","20","6.2"
"2024-04-25T00:00:00","82","24","6.4"
"2024-03-26T00:00:00","86","22","6.8"
"2024-03-25T00:00:00","77","25","6.0"
"2024-03-08T00:00:00","83","23","6.6"
"2024-03-03T00:00:00","91","21","6.3"
"2024-03-13T00:00:00","84","24","6.5"
"2024-03-24T00:00:00","89","22","6.1"
"2024-04-04T00:00:00","76","26","6.7"
"2024-03-12T00:00:00","83","22","6.3"
"2024-04-24T00:00:00","79","24","6.5"
"2024-04-14T00:00:00","85","21","6.2"
"2024-03-23T00:00:00","81","23","6.4"
"2024-03-04T00:00:00","87","20","6.1"
"2024-04-02T00:00:00","76","25","6.6"
"2024-03-19T00:00:00","84","22","6.3"
"2024-03-29T00:00:00","80","24","6.7"
"2024-03-18T00:00:00","89","21","6.4"
"2024-04-15T00:00:00","82","23","6.2"
"2024-04-23T00:00:00","86","26","6.5"
"2024-03-26T00:00:00","77","20","6.3"
"2024-04-04T00:00:00","90","24","6.8"
"2024-04-21T00:00:00","79","25","6.0"
"2024-04-18T00:00:00","83","23","6.6"
"2024-04-03T00:00:00","91","21","6.3"
"2024-04-10T00:00:00","84","24","6.5"
"2024-04-18T00:00:00","89","22","6.1"
"2024-03-15T00:00:00","76","26","6.7"
"2024-03-11T00:00:00","85","22","6.4"
"2024-03-11T00:00:00","82","22","6.3"
"2024-04-25T00:00:00","78","24","6.5"
"2024-03-29T00:00:00","85","21","6.2"
"2024-04-22T00:00:00","81","23","6.4"
"2024-04-12T00:00:00","87","20","6.1"
"2024-04-05T00:00:00","76","25","6.6"
"2024-03-12T00:00:00","84","22","6.3"
"2024-04-02T00:00:00","80","24","6.7"
"2024-04-14T00:00:00","89","21","6.4"
"2024-03-21T00:00:00","82","23","6.2"
"2024-03-10T00:00:00","86","26","6.5"
"2024-04-13T00:00:00","77","20","6.3"
"2024-04-04T00:00:00","90","24","6.8"
"2024-04-03T00:00:00","79","25","6.0"
"2024-03-05T00:00:00","83","23","6.6"
