"fecha","humedad","temperatura","ph"
"2024-03-02T00:00:00","92","20","6.5"
"2024-03-08T00:00:00","90","21","6.6"
"2024-03-04T00:00:00","88","22","6.7"
"2024-04-17T00:00:00","86","23","6.8"
"2024-04-09T00:00:00","84","24","6.9"
"2024-03-21T00:00:00","82","25","6.8"
"2024-04-29T00:00:00","80","26","6.7"
"2024-04-24T00:00:00","78","27","6.6"
"2024-04-27T00:00:00","76","26","6.5"
"2024-04-22T00:00:00","74","25","6.4"
"2024-03-25T00:00:00","72","24","6.3"
"2024-04-21T00:00:00","70","23","6.2"
"2024-04-19T00:00:00","68","22","6.1"
"2024-03-11T00:00:00","66","21","6.0"
"2024-03-15T00:00:00","64","20","5.9"
"2024-04-27T00:00:00","62","19","5.8"
"2024-03-02T00:00:00","60","18","5.7"
"2024-03-19T00:00:00","58","17","5.6"
"2024-03-04T00:00:00","56","16","5.5"
"2024-04-24T00:00:00","54","15","5.4"
"2024-03-05T00:00:00","90","18","6.6"
"2024-04-08T00:00:00","88","20","6.7"
"2024-03-04T00:00:00","85","22","6.8"
"2024-03-11T00:00:00","84","24","6.9"
"2024-04-12T00:00:00","82","26","6.8"
"2024-03-21T00:00:00","80","28","6.7"
"2024-04-16T00:00:00","78","26","6.6"
"2024-04-27T00:00:00","76","24","6.5"
"2024-04-22T00:00:00","74","22","6.4"
"2024-04-08T00:00:00","72","20","6.3"
"2024-04-12T00:00:00","70","18","6.2"
"2024-03-08T00:00:00","68","16","6.1"
"2024-03-21T00:00:00","66","14","6.0"
"2024-03-10T00:00:00","64","12","5.9"
"2024-03-29T00:00:00","62","10","5.8"
"2024-04-28T00:00:00","60","8","5.7"
"2024-03-03T00:00:00","58","6","5.6"
"2024-04-10T00:00:00","56","4","5.5"
"2024-04-09T00:00:00","54","2","5.4"
"2024-04-18T00:00:00","52","0","5.3"
"2024-03-09T00:00:00","88","18","6.6"
"2024-03-15T00:00:00","85","19","6.7"
"2024-04-28T00:00:00","82","20","6.8"
"2024-04-14T00:00:00","80","21","6.9"
"2024-04-19T00:00:00","78","22","7.0"
"2024-04-06T00:00:00","76","23","7.1"
"2024-03-04T00:00:00","74","24","7.2"
"2024-04-08T00:00:00","72","25","7.1"
"2024-03-20T00:00:00","70","26","7.0"
"2024-04-02T00:00:00","68","27","6.9"
"2024-03-22T00:00:00","66","28","6.8"
"2024-04-19T00:00:00","64","29","6.7"
"2024-04-26T00:00:00","62","30","6.6"
"2024-04-06T00:00:00","60","29","6.5"
"2024-03-22T00:00:00","58","28","6.4"
"2024-04-29T00:00:00","56","27","6.3"
"2024-04-10T00:00:00","54","26","6.2"
"2024-03-08T00:00:00","52","25","6.1"
"2024-03-26T00:00:00","50","24","6.0"
"2024-03-06T00:00:00","48","23","5.9"
"2024-03-05T00:00:00","46","22","5.8"
"2024-03-11T00:00:00","44","21","5.7"
"2024-04-08T00:00:00","42","20","5.6"
"2024-03-06T00:00:00","40","19","5.5"
"2024-04-18T00:00:00","38","18","5.4"
"2024-03-10T00:00:00","36","17","5.3"
"2024-04-15T00:00:00","34","16","5.2"
"2024-04-05T00:00:00","32","15","5.1"
"2024-04-14T00:00:00","30","14","5.0"
"2024-04-06T00:00:00","85","21","6.7"
"2024-03-10T00:00:00","83","22","6.6"
"2024-03-09T00:00:00","81","23","6.5"
"2024-03-07T00:00:00","79","24","6.4"
"2024-03-18T00:00:00","77","25","6.3"
"2024-03-03T00:00:00","75","26","6.2"
"2024-03-05T00:00:00","73","27","6.1"
"2024-03-14T00:00:00","71","28","6.0"
"2024-03-01T00:00:00","69","29","5.9"
"2024-03-01T00:00:00","67","30","5.8"
"2024-04-26T00:00:00","65","29","5.7"
"2024-04-24T00:00:00","63","28","5.6"
"2024-04-17T00:00:00","61","27","5.5"
"2024-03-01T00:00:00","59","26","5.4"
"2024-04-26T00:00:00","57","25","5.3"
"2024-03-23T00:00:00","55","24","5.2"
"2024-03-13T00:00:00","53","23","5.1"
"2024-03-05T00:00:00","51","22","5.0"
"2024-04-20T00:00:00","49","21","4.9"
"2024-03-07T00:00:00","47","20","4.8"
"2024-04-16T00:00:00","45","19","4.7"
"2024-03-30T00:00:00","43","18","4.6"
"2024-03-18T00:00:00","41","17","4.5"
"2024-03-30T00:00:00","39","16","4.4"
"2024-03-09T00:00:00","37","15","4.3"
"2024-03-03T00:00:00","35","14","4.2"
"2024-03-25T00:00:00","33","13","4.1"
"2024-03-02T00:00:00","31","12","4.0"
"2024-04-17T00:00:00","29","11","4.1"
"2024-04-29T00:00:00","27","10","4.2"
"2024-03-13T00:00:00","25","9","4.3"
"2024-03-09T00:00:00","23","8","4.4"
"2024-04-07T00:00:00","21","7","4.5"
"2024-04-13T00:00:00","19","6","4.6"
"2024-04-24T00:00:00","17","5","4.7"
"2024-03-21T00:00:00","15","4","4.8"
"2024-03-30T00:00:00","13","3","4.9"
"2024-03-01T00:00:00","11","2","5.0"
"2024-03-29T00:00:00","9","1","5.1"
"2024-04-22T00:00:00","7","0","5.2"
"2024-04-02T00:00:00","5","-1","5.3"
"2024-04-26T00:00:00","3","-2","5.4"
"2024-03-12T00:00:00","82","21","6.5"
"2024-03-14T00:00:00","80","22","6.4"
"2024-03-25T00:00:00","78","23","6.3"
"2024-04-25T00:00:00","76","24","6.2"
"2024-03-14T00:00:00","74","25","6.1"
"2024-03-03T00:00:00","72","26","6.0"
"2024-04-15T00:00:00","70","27","5.9"
"2024-03-20T00:00:00","68","28","5.8"
"2024-04-06T00:00:00","66","29","5.7"
"2024-04-24T00:00:00","64","30","5.6"
"2024-03-25T00:00:00","62","29","5.5"
"2024-03-30T00:00:00","60","28","5.4"
"2024-04-14T00:00:00","58","27","5.3"
"2024-04-30T00:00:00","56","26","5.2"
"2024-04-04T00:00:00","54","25","5.1"
"2024-04-06T00:00:00","52","24","5.0"
"2024-03-22T00:00:00","50","23","5.1"
"2024-03-09T00:00:00","48","22","5.2"
"2024-04-27T00:00:00","46","21","5.3"
"2024-03-27T00:00:00","44","20","5.4"
"2024-04-02T00:00:00","80","20","6.5"
"2024-04-27T00:00:00","78","21","6.4"
"2024-03-18T00:00:00","76","22","6.3"
"2024-04-25T00:00:00","74","23","6.2"
"2024-04-18T00:00:00","72","24","6.1"
"2024-04-29T00:00:00","70","25","6.0"
"2024-04-12T00:00:00","68","26","5.9"
"2024-04-09T00:00:00","66","27","5.8"
"2024-04-26T00:00:00","64","28","5.7"
"2024-03-26T00:00:00","62","29","5.6"
"2024-03-09T00:00:00","60","30","5.5"
"2024-03-21T00:00:00","58","29","5.4"
"2024-04-04T00:00:00","56","28","5.3"
"2024-03-31T00:00:00","54","27","5.2"
"2024-03-14T00:00:00","52","26","5.1"
"2024-04-23T00:00:00","50","25","5.0"
