"fecha","humedad","temperatura","ph"
"2024-04-18T00:00:00","87","7","6.1"
"2024-03-31T00:00:00","90","6","5.9"
"2024-03-10T00:00:00","88","8","6.3"
"2024-04-05T00:00:00","91","9","5.8"
"2024-04-26T00:00:00","85","5","6.2"
"2024-03-29T00:00:00","89","7","6.0"
"2024-03-22T00:00:00","92","10","6.4"
"2024-03-01T00:00:00","94","8","6.1"
"2024-04-20T00:00:00","86","6","5.7"
"2024-04-12T00:00:00","90","9","6.3"
"2024-04-07T00:00:00","93","7","6.0"
"2024-03-14T00:00:00","88","8","6.2"
"2024-04-09T00:00:00","87","5","5.9"
"2024-03-11T00:00:00","89","6","6.4"
"2024-03-01T00:00:00","91","10","6.3"
"2024-04-03T00:00:00","92","9","6.1"
"2024-04-20T00:00:00","94","7","6.2"
"2024-04-09T00:00:00","85","6","5.8"
"2024-04-04T00:00:00","93","8","6.0"
"2024-04-14T00:00:00","90","5","6.5"
"2024-04-11T00:00:00","88","6","6.2"
"2024-04-02T00:00:00","92","9","6.1"
"2024-03-16T00:00:00","90","7","5.9"
"2024-03-29T00:00:00","87","8","6.0"
"2024-04-26T00:00:00","93","10","6.4"
"2024-03-27T00:00:00","89","5","5.8"
"2024-03-30T00:00:00","85","6","6.3"
"2024-03-31T00:00:00","94","8","6.2"
"2024-03-31T00:00:00","88","9","5.7"
"2024-03-21T00:00:00","91","7","6.1"
"2024-04-09T00:00:00","89","10","6.0"
"2024-03-19T00:00:00","87","5","6.5"
"2024-03-12T00:00:00","92","6","6.3"
"2024-04-26T00:00:00","85","8","5.9"
"2024-03-03T00:00:00","94","9","6.4"
"2024-03-09T00:00:00","88","7","6.1"
"2024-04-07T00:00:00","91","10","6.0"
"2024-03-17T00:00:00","90","5","5.8"
"2024-03-24T00:00:00","87","6","6.3"
"2024-03-01T00:00:00","92","8","6.2"
"2024-03-24T00:00:00","90","7","6.0"
"2024-04-26T00:00:00","89","8","6.2"
"2024-03-09T00:00:00","91","6","5.9"
"2024-03-06T00:00:00","88","9","6.1"
"2024-04-29T00:00:00","87","10","6.3"
"2024-04-01T00:00:00","86","5","6.0"
"2024-03-29T00:00:00","92","7","5.8"
"2024-04-27T00:00:00","90","9","6.2"
"2024-04-19T00:00:00","89","8","6.4"
"2024-03-26T00:00:00","91","6","6.1"
"2024-03-28T00:00:00","92","5","5.9"
"2024-03-21T00:00:00","87","7","6.3"
"2024-03-18T00:00:00","88","8","6.0"
"2024-04-12T00:00:00","89","9","5.7"
"2024-03-20T00:00:00","85","6","6.1"
"2024-04-12T00:00:00","94","10","6.4"
"2024-03-01T00:00:00","92","8","6.0"
"2024-04-30T00:00:00","90","7","6.2"
"2024-04-23T00:00:00","86","7","6.3"
"2024-03-21T00:00:00","89","9","6.0"
"2024-04-07T00:00:00","92","8","6.4"
"2024-03-30T00:00:00","85","6","5.9"
"2024-04-09T00:00:00","88","7","6.2"
"2024-03-08T00:00:00","93","9","5.8"
"2024-04-28T00:00:00","90","10","6.1"
"2024-04-04T00:00:00","87","8","6.0"
"2024-04-24T00:00:00","94","5","6.4"
"2024-03-07T00:00:00","85","6","6.2"
"2024-03-16T00:00:00","88","7","5.9"
"2024-04-25T00:00:00","91","9","6.3"
"2024-04-13T00:00:00","89","8","6.1"
"2024-03-27T00:00:00","92","10","6.0"
"2024-04-21T00:00:00","86","5","6.3"
"2024-04-12T00:00:00","90","6","6.2"
"2024-04-02T00:00:00","88","8","6.1"
"2024-04-27T00:00:00","85","9","5.8"
"2024-03-28T00:00:00","93","7","6.4"
"2024-03-16T00:00:00","91","10","6.3"
"2024-04-22T00:00:00","91","8","6.2"
"2024-04-21T00:00:00","88","7","6.0"
"2024-04-29T00:00:00","85","6","5.8"
"2024-04-09T00:00:00","92","9","6.1"
"2024-04-07T00:00:00","89","5","6.3"
"2024-03-18T00:00:00","86","7","6.4"
"2024-04-25T00:00:00","90","8","5.9"
"2024-04-20T00:00:00","93","10","6.2"
"2024-03-05T00:00:00","87","6","6.1"
"2024-03-27T00:00:00","85","9","5.7"
"2024-04-01T00:00:00","91","7","6.3"
"2024-04-18T00:00:00","89","8","6.0"
"2024-03-13T00:00:00","92","10","6.1"
"2024-03-17T00:00:00","90","5","6.4"
"2024-04-16T00:00:00","87","6","5.9"
"2024-03-01T00:00:00","94","8","6.2"
"2024-03-04T00:00:00","85","7","6.0"
"2024-04-07T00:00:00","88","9","6.3"
"2024-03-31T00:00:00","91","10","6.1"
"2024-04-10T00:00:00","93","6","6.4"
"2024-03-11T00:00:00","88","9","6.0"
"2024-03-25T00:00:00","90","7","6.3"
"2024-03-17T00:00:00","85","8","6.1"
"2024-04-20T00:00:00","87","6","5.9"
"2024-04-13T00:00:00","92","5","6.2"
"2024-04-08T00:00:00","91","7","6.4"
"2024-03-22T00:00:00","89","9","6.1"
"2024-03-30T00:00:00","94","6","6.0"
"2024-04-02T00:00:00","85","10","6.3"
"2024-03-15T00:00:00","87","8","5.8"
"2024-03-13T00:00:00","88","5","6.2"
"2024-04-16T00:00:00","90","7","6.0"
"2024-03-28T00:00:00","86","9","5.9"
"2024-04-23T00:00:00","92","8","6.4"
"2024-03-19T00:00:00","89","6","6.1"
"2024-04-07T00:00:00","91","10","6.0"
"2024-04-22T00:00:00","94","7","6.3"
"2024-03-31T00:00:00","85","9","5.7"
"2024-03-02T00:00:00","87","5","6.2"
